epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.34994,3.69604,4.23544,2.30396,0.01169,0.02381,0.00311,0.00147,3.52771,3.62208,2.16251,3.36e-05,3.36e-05,0.0960336
2,3.97405,3.5503,3.41091,2.09929,0.01078,0.08186,0.00209,0.00065,3.58435,15.5413,1.74403,7.55815e-05,7.55815e-05,0.0910756
3,6.00054,2.90787,2.39073,1.4465,0.00831,0.08091,0.00493,0.00099,3.55444,inf,1.6967,0.000117485,0.000117485,0.0861175
4,7.8824,2.68704,2.09982,1.41316,0.34908,0.03958,0.00554,0.00105,3.35839,74.8543,1.43762,0.000159249,0.000159249,0.0811592
5,9.86559,2.62058,2.02811,1.3709,0.36063,0.02111,0.00663,0.00118,3.35928,21.7235,1.34248,0.000200813,0.000200813,0.0762008
6,11.733,2.46582,1.94108,1.29378,0.36088,0.05101,0.01282,0.00282,3.21989,11.9145,1.32237,0.000242115,0.000242115,0.0712421
7,13.6272,2.3732,1.86328,1.29128,0.39464,0.07036,0.0415,0.01304,2.92765,9.60517,1.39974,0.000283095,0.000283095,0.0662831
8,15.5003,2.38615,1.75669,1.23422,0.41266,0.073,0.04676,0.01413,2.89892,7.64258,1.41623,0.000323693,0.000323693,0.0613237
9,17.2439,2.29739,1.65074,1.24751,0.44121,0.08795,0.07343,0.02442,2.65923,3.7263,1.34768,0.00036385,0.00036385,0.0563639
10,18.8462,2.25055,1.63432,1.25194,0.35384,0.12847,0.10821,0.03432,2.58484,3.89826,1.34241,0.000403507,0.000403507,0.0514035
11,20.4996,2.24325,1.5803,1.20993,0.37092,0.14254,0.12367,0.03652,2.55833,3.19988,1.34043,0.000442607,0.000442607,0.0464426
12,22.1764,2.22906,1.51387,1.17489,0.41994,0.16717,0.17238,0.05783,2.35388,2.64735,1.24249,0.000481091,0.000481091,0.0414811
13,23.7547,2.18422,1.48663,1.19888,0.47614,0.1983,0.25316,0.07772,2.30467,2.62485,1.22579,0.000518906,0.000518906,0.0365189
14,25.3529,2.20097,1.4772,1.17725,0.78977,0.28466,0.28596,0.11859,2.15126,2.2488,1.18611,0.000555995,0.000555995,0.031556
15,26.9369,2.11099,1.43966,1.1943,0.4634,0.32212,0.32475,0.14438,2.16486,2.25963,1.17499,0.000592305,0.000592305,0.0265923
16,28.4973,2.12015,1.36865,1.19351,0.81807,0.31354,0.31038,0.13083,2.2964,2.48708,1.20791,0.000627785,0.000627785,0.0216278
17,30.0232,2.11442,1.40187,1.18075,0.81332,0.33735,0.35389,0.16174,2.17007,2.5452,1.16915,0.000662382,0.000662382,0.0166624
18,31.5583,2.14272,1.42271,1.1739,0.44465,0.33384,0.34296,0.1572,2.13951,2.29256,1.15128,0.000696047,0.000696047,0.011696
19,33.0824,2.13479,1.40707,1.18044,0.43449,0.29011,0.32581,0.1435,2.25649,2.22074,1.17425,0.000728733,0.000728733,0.00672873
20,34.7413,2.17426,1.41175,1.1358,0.72436,0.2837,0.27609,0.10785,2.60564,3.06352,1.25741,0.000760393,0.000760393,0.00176039
21,36.25,2.13622,1.38926,1.14454,0.75471,0.2969,0.28427,0.11699,2.41381,4.87317,1.18558,0.00076056,0.00076056,0.00076056
22,37.7631,2.04269,1.44096,1.14654,0.70317,0.32278,0.31647,0.14853,2.2766,3.63966,1.15578,0.000752715,0.000752715,0.000752715
23,39.2789,2.10779,1.41641,1.16297,0.40019,0.31103,0.35003,0.16561,2.18822,2.58165,1.14092,0.000744545,0.000744545,0.000744545
24,40.8697,2.11756,1.45043,1.16875,0.53575,0.28993,0.39042,0.19956,2.11525,1.94052,1.1392,0.000736058,0.000736058,0.000736058
25,42.4483,2.15202,1.43767,1.16982,0.42797,0.29608,0.36699,0.17542,2.13963,1.94983,1.154,0.000727264,0.000727264,0.000727264
26,43.9676,2.14305,1.38503,1.1691,0.39168,0.31191,0.35483,0.17714,2.13746,2.0226,1.16149,0.000718171,0.000718171,0.000718171
