epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6794,3.41423,3.79771,1.87735,0.34038,0.01089,0.00055,0.0001,4.12134,9.79859,1.58668,0.0001428,0.0001428,0.0831428
2,17.9772,2.59106,2.14734,1.38072,0.01436,0.02342,0.00295,0.00056,4.17352,5.35435,1.88453,0.000293928,0.000293928,0.0652939
3,22.3072,2.46393,2.02185,1.29563,0.75033,0.07407,0.06366,0.01587,3.24864,4.5672,1.44443,0.000444765,0.000444765,0.0474448
4,26.5408,2.42807,1.90259,1.28254,0.42871,0.12898,0.16496,0.05357,2.72299,3.84473,1.34568,0.000595089,0.000595089,0.0295951
5,30.5657,2.35539,1.80084,1.25127,0.3583,0.38456,0.31347,0.11987,2.2566,4.08417,1.20584,0.000744681,0.000744681,0.0117447
6,34.6519,2.31259,1.824,1.24554,0.29878,0.38446,0.26676,0.1129,2.38357,3.94022,1.33414,0.000834879,0.000834879,0.000834879
7,38.6858,2.30691,1.76713,1.21294,0.3561,0.28994,0.3001,0.09641,2.3939,4.38317,1.24501,0.000832632,0.000832632,0.000832632
8,42.825,2.25769,1.71481,1.2008,0.35223,0.41313,0.25186,0.09553,2.60481,3.29647,1.30648,0.000829983,0.000829983,0.000829983
9,46.9393,2.2185,1.64981,1.19479,0.39957,0.52583,0.35743,0.14001,2.24805,2.59271,1.21338,0.000826932,0.000826932,0.000826932
10,51.0244,2.18392,1.57721,1.20038,0.46809,0.47944,0.38468,0.14814,2.258,2.09808,1.19493,0.000823484,0.000823484,0.000823484
11,54.8934,2.19414,1.5688,1.18266,0.39967,0.56388,0.47006,0.19415,2.30809,1.84791,1.21745,0.000819642,0.000819642,0.000819642
12,58.7453,2.17307,1.55018,1.18194,0.42301,0.50147,0.46218,0.2101,2.09716,1.54524,1.17143,0.000815409,0.000815409,0.000815409
13,62.5189,2.14992,1.49289,1.15684,0.70046,0.43265,0.51738,0.23073,2.05182,1.67421,1.16467,0.00081079,0.00081079,0.00081079
14,66.2895,2.11652,1.48943,1.13992,0.64451,0.52763,0.55123,0.26106,2.07653,1.57092,1.1415,0.00080579,0.00080579,0.00080579
15,70.0292,2.12934,1.42961,1.15577,0.67908,0.594,0.62173,0.28647,2.10552,1.46467,1.17461,0.000800413,0.000800413,0.000800413
16,73.8086,2.0681,1.42864,1.14813,0.65681,0.52135,0.55398,0.26017,2.06771,1.70715,1.14728,0.000794664,0.000794664,0.000794664
17,77.5887,2.06494,1.41343,1.13997,0.71472,0.50284,0.58422,0.29221,2.00571,1.54751,1.13541,0.00078855,0.00078855,0.00078855
18,81.5155,2.07169,1.45568,1.14268,0.71667,0.66599,0.65785,0.31863,2.00585,1.45261,1.13438,0.000782075,0.000782075,0.000782075
19,85.2527,2.02677,1.3961,1.1317,0.66506,0.47359,0.56135,0.27368,2.1962,1.47859,1.16922,0.000775248,0.000775248,0.000775248
20,88.9461,2.04095,1.43586,1.143,0.76662,0.59778,0.65121,0.31818,1.98554,1.37921,1.13067,0.000768074,0.000768074,0.000768074
21,92.6197,2.06591,1.41068,1.13058,0.76393,0.51695,0.60023,0.27327,2.03722,1.38265,1.1339,0.00076056,0.00076056,0.00076056
22,96.2982,2.02964,1.38459,1.12646,0.60277,0.62106,0.62003,0.30125,2.16224,1.42666,1.16371,0.000752715,0.000752715,0.000752715
23,99.9588,2.00783,1.32956,1.10746,0.70495,0.55705,0.61238,0.28538,1.9893,1.3295,1.11915,0.000744545,0.000744545,0.000744545
24,103.651,1.98894,1.36167,1.11042,0.82451,0.60266,0.66485,0.32069,1.97295,1.27544,1.11468,0.000736058,0.000736058,0.000736058
25,107.391,2.00677,1.33598,1.1087,0.78843,0.55565,0.63408,0.29812,2.17312,1.45375,1.17123,0.000727264,0.000727264,0.000727264
26,111.071,2.01618,1.35392,1.11698,0.77601,0.56833,0.64926,0.32507,2.00574,1.31145,1.12463,0.000718171,0.000718171,0.000718171
27,114.8,1.97615,1.35342,1.11533,0.71397,0.64504,0.69497,0.35129,1.98285,1.4237,1.12697,0.000708787,0.000708787,0.000708787
28,118.475,1.90446,1.27627,1.09864,0.76468,0.65647,0.719,0.38391,1.95837,1.24839,1.11089,0.000699122,0.000699122,0.000699122
29,122.161,1.91893,1.28958,1.09133,0.78151,0.67079,0.73357,0.3946,1.95687,1.24544,1.11327,0.000689186,0.000689186,0.000689186
30,125.867,1.95797,1.29641,1.10215,0.82815,0.61897,0.71721,0.34947,1.9595,1.22891,1.12145,0.000678988,0.000678988,0.000678988
31,129.567,1.88996,1.24223,1.09219,0.75453,0.61493,0.66689,0.31511,1.98474,1.24081,1.12111,0.000668539,0.000668539,0.000668539
32,133.318,1.91236,1.27945,1.10704,0.78087,0.66983,0.74296,0.40901,1.95627,1.23589,1.10712,0.000657848,0.000657848,0.000657848
33,136.969,1.86472,1.22829,1.08115,0.68853,0.67543,0.72274,0.3721,1.91469,1.25527,1.11266,0.000646927,0.000646927,0.000646927
34,140.63,1.89154,1.23061,1.0777,0.8373,0.59759,0.72647,0.36869,1.89206,1.18373,1.09702,0.000635785,0.000635785,0.000635785
35,144.328,1.89827,1.24276,1.08332,0.7185,0.6707,0.71682,0.37626,1.85641,1.21709,1.09215,0.000624435,0.000624435,0.000624435
36,148.114,1.89989,1.20588,1.06731,0.84377,0.63476,0.75614,0.40325,1.92549,1.2075,1.09531,0.000612887,0.000612887,0.000612887
37,151.811,1.83961,1.19134,1.06783,0.69064,0.73349,0.76376,0.40249,1.83784,1.19428,1.0735,0.000601152,0.000601152,0.000601152
38,155.485,1.84873,1.2018,1.0718,0.89631,0.65093,0.77508,0.42639,1.88568,1.16677,1.09125,0.000589243,0.000589243,0.000589243
39,159.165,1.86118,1.20564,1.06303,0.78884,0.65166,0.75801,0.39965,1.89363,1.14688,1.08622,0.000577171,0.000577171,0.000577171
40,162.867,1.80246,1.14937,1.06606,0.73119,0.67938,0.70828,0.3857,1.84765,1.11752,1.0771,0.000564947,0.000564947,0.000564947
41,166.515,1.77033,1.1404,1.05745,0.87037,0.6546,0.77141,0.42364,1.91921,1.12609,1.09325,0.000552585,0.000552585,0.000552585
42,170.201,1.79086,1.11112,1.05102,0.83017,0.64017,0.74368,0.39196,1.93184,1.13476,1.09096,0.000540095,0.000540095,0.000540095
43,173.818,1.7785,1.13798,1.05214,0.74852,0.67355,0.73539,0.4173,1.80516,1.10855,1.06167,0.000527492,0.000527492,0.000527492
44,177.456,1.7534,1.11191,1.04092,0.74869,0.72483,0.77659,0.42987,1.82132,1.14801,1.06865,0.000514786,0.000514786,0.000514786
45,181.189,1.77345,1.13405,1.03074,0.80681,0.6796,0.76869,0.43965,1.80374,1.09336,1.07191,0.00050199,0.00050199,0.00050199
46,184.908,1.75761,1.09364,1.04818,0.88597,0.73807,0.81112,0.41834,1.8326,1.08444,1.07759,0.000489118,0.000489118,0.000489118
47,188.517,1.71859,1.0835,1.02943,0.87764,0.74896,0.81492,0.42849,1.78796,1.08881,1.06409,0.000476181,0.000476181,0.000476181
48,192.168,1.76204,1.13466,1.04919,0.86811,0.72526,0.8161,0.42836,1.76112,1.06145,1.05817,0.000463193,0.000463193,0.000463193
49,195.821,1.72579,1.0714,1.02699,0.84906,0.69319,0.79017,0.42407,1.76919,1.07397,1.06369,0.000450167,0.000450167,0.000450167
50,199.467,1.67458,1.06504,1.01623,0.80732,0.70854,0.76813,0.4329,1.78464,1.06022,1.05854,0.000437114,0.000437114,0.000437114
51,203.119,1.70282,1.05654,1.01855,0.89612,0.67269,0.78855,0.43409,1.76592,1.04418,1.0633,0.000424049,0.000424049,0.000424049
52,206.813,1.72469,1.07953,1.02279,0.86873,0.73642,0.81163,0.44803,1.78496,1.07258,1.05971,0.000410983,0.000410983,0.000410983
53,210.559,1.69462,1.05259,1.02458,0.86689,0.76435,0.8244,0.44305,1.7411,1.05386,1.05251,0.000397931,0.000397931,0.000397931
54,214.295,1.7035,1.06422,1.02588,0.8789,0.75727,0.83946,0.45185,1.7578,1.02695,1.05285,0.000384904,0.000384904,0.000384904
55,218.011,1.70745,1.04404,1.01554,0.87498,0.71618,0.81151,0.45152,1.84296,1.08655,1.08128,0.000371916,0.000371916,0.000371916
56,221.719,1.71715,1.04965,1.00813,0.87455,0.67892,0.82053,0.46693,1.75676,1.0479,1.05715,0.00035898,0.00035898,0.00035898
57,225.453,1.66013,1.0183,1.02113,0.8531,0.69717,0.8002,0.4599,1.74266,1.01606,1.05171,0.000346107,0.000346107,0.000346107
