epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,69.5481,1.97167,1.2136,1.10283,0.46506,0.57345,0.47847,0.21935,2.22171,1.63522,1.16286,0.000540095,0.000540095,0.000540095
43,71.158,1.96182,1.20197,1.0864,0.31297,0.60498,0.37884,0.18074,2.24282,1.65708,1.16732,0.000527492,0.000527492,0.000527492
44,72.7211,1.93365,1.19986,1.07694,0.65675,0.31112,0.43554,0.19923,2.2248,1.67087,1.15761,0.000514786,0.000514786,0.000514786
45,74.213,1.88398,1.18793,1.08955,0.34005,0.59597,0.45764,0.22154,2.15368,1.606,1.13992,0.00050199,0.00050199,0.00050199
46,75.7186,1.98718,1.19633,1.10602,0.29969,0.66558,0.46664,0.20998,2.13375,1.5555,1.13336,0.000489118,0.000489118,0.000489118
47,77.2521,1.92896,1.15412,1.11764,0.40756,0.6267,0.50771,0.25932,2.08148,1.49569,1.12469,0.000476181,0.000476181,0.000476181
48,78.8154,1.84077,1.12375,1.08416,0.68435,0.42796,0.52477,0.30737,2.07028,1.49247,1.13616,0.000463193,0.000463193,0.000463193
49,80.4237,1.91079,1.14212,1.07954,0.68495,0.46963,0.52968,0.29402,2.06154,1.49576,1.13153,0.000450167,0.000450167,0.000450167
50,81.9181,1.90482,1.18393,1.06595,0.80629,0.43503,0.5122,0.27919,2.10965,1.54077,1.13968,0.000437114,0.000437114,0.000437114
51,83.4547,1.89295,1.15049,1.09518,0.8022,0.38782,0.46097,0.25197,2.13896,1.55426,1.13871,0.000424049,0.000424049,0.000424049
52,84.9559,1.85108,1.11732,1.08427,0.6033,0.44869,0.54116,0.35594,2.06331,1.48428,1.12309,0.000410983,0.000410983,0.000410983
53,86.505,1.91889,1.14938,1.07458,0.7188,0.54294,0.66455,0.40494,2.08261,1.44349,1.13006,0.000397931,0.000397931,0.000397931
54,88.0555,1.83163,1.12027,1.1253,0.65532,0.59621,0.66914,0.39159,2.06138,1.39532,1.11977,0.000384904,0.000384904,0.000384904
55,89.5406,1.8525,1.14098,1.08047,0.64362,0.61128,0.65074,0.36876,2.04229,1.3751,1.11263,0.000371916,0.000371916,0.000371916
56,91.1032,1.86839,1.09213,1.09135,0.64197,0.62204,0.63447,0.35547,2.04304,1.39978,1.11692,0.00035898,0.00035898,0.00035898
57,92.6544,1.86299,1.09497,1.06645,0.67518,0.63803,0.6441,0.34106,2.04891,1.45211,1.11511,0.000346107,0.000346107,0.000346107
58,94.1988,1.9194,1.15019,1.0569,0.65452,0.53037,0.47863,0.26197,2.04564,1.45533,1.1118,0.000333312,0.000333312,0.000333312
59,95.7876,1.804,1.07535,1.06689,0.65789,0.47217,0.47048,0.24668,2.03761,1.42011,1.11057,0.000320606,0.000320606,0.000320606
60,97.3736,1.80505,1.05054,1.03703,0.6574,0.45833,0.47956,0.26025,2.07021,1.39635,1.12176,0.000308002,0.000308002,0.000308002
61,98.8699,1.84274,1.0744,1.05087,0.79939,0.39259,0.4857,0.25843,2.10457,1.43026,1.1302,0.000295513,0.000295513,0.000295513
62,100.42,1.83548,1.10029,1.05297,0.79668,0.38477,0.48619,0.26527,2.0921,1.43859,1.13038,0.00028315,0.00028315,0.00028315
63,101.993,1.79578,1.09439,1.08237,0.68718,0.40014,0.48603,0.28337,2.05201,1.42793,1.12159,0.000270927,0.000270927,0.000270927
64,103.546,1.83991,1.08219,1.05396,0.78454,0.37396,0.48861,0.28929,2.06064,1.41707,1.13285,0.000258855,0.000258855,0.000258855
65,105.08,1.89796,1.08781,1.05012,0.84344,0.36074,0.48228,0.29458,2.06621,1.44812,1.13568,0.000246945,0.000246945,0.000246945
66,106.651,1.84753,1.05858,1.05133,0.81255,0.36726,0.4719,0.29439,2.08748,1.50408,1.1418,0.000235211,0.000235211,0.000235211
67,108.141,1.78905,1.10546,1.03839,0.72876,0.38228,0.46569,0.30443,2.1312,1.57973,1.15147,0.000223663,0.000223663,0.000223663
68,109.696,1.77214,1.0553,1.04884,0.70294,0.40344,0.46186,0.30516,2.18872,1.55761,1.15421,0.000212312,0.000212312,0.000212312
69,111.278,1.80886,1.04633,1.03166,0.6812,0.42915,0.4734,0.31048,2.12776,1.45515,1.13086,0.000201171,0.000201171,0.000201171
70,112.843,1.79647,1.03452,1.04845,0.68268,0.45599,0.48767,0.32008,2.04888,1.36251,1.11285,0.00019025,0.00019025,0.00019025
71,114.404,1.74675,1.0184,1.05823,0.72858,0.46024,0.50697,0.32544,2.02522,1.32636,1.10995,0.000179559,0.000179559,0.000179559
72,115.968,1.81171,1.031,1.06146,0.74257,0.42186,0.49011,0.29344,2.07484,1.36296,1.12801,0.000169109,0.000169109,0.000169109
73,117.524,1.80813,1.02679,1.058,0.77506,0.40814,0.49296,0.2937,2.0805,1.38064,1.12935,0.000158912,0.000158912,0.000158912
74,119.065,1.77402,1.01612,1.03046,0.76803,0.40057,0.49547,0.28576,2.06193,1.37243,1.12294,0.000148975,0.000148975,0.000148975
75,120.608,1.75215,1.02421,1.05213,0.66128,0.42243,0.47873,0.27064,2.03091,1.35125,1.11422,0.000139311,0.000139311,0.000139311
76,122.167,1.76714,0.99151,1.05042,0.66895,0.44014,0.48132,0.27529,2.03804,1.34504,1.11472,0.000129927,0.000129927,0.000129927
77,123.68,1.78832,1.0101,1.03683,0.66543,0.43215,0.47965,0.27351,2.05674,1.35232,1.11726,0.000120833,0.000120833,0.000120833
78,125.165,1.75366,1.01678,1.02188,0.65902,0.43533,0.47708,0.27221,2.06879,1.36392,1.11829,0.000112039,0.000112039,0.000112039
79,126.685,1.71469,0.98602,1.03841,0.58946,0.45736,0.47076,0.26881,2.06314,1.36697,1.11668,0.000103553,0.000103553,0.000103553
80,128.158,1.68001,0.97868,1.03727,0.61155,0.4209,0.47472,0.26422,2.02671,1.35056,1.10966,9.53829e-05,9.53829e-05,9.53829e-05
81,129.622,1.73623,0.98662,1.0416,0.61973,0.42696,0.47416,0.26213,2.02329,1.3409,1.10983,8.75372e-05,8.75372e-05,8.75372e-05
82,131.151,1.72561,0.98799,1.04095,0.6214,0.43647,0.47546,0.26611,2.03153,1.33714,1.1118,8.00236e-05,8.00236e-05,8.00236e-05
83,132.67,1.77838,0.98466,1.04064,0.64106,0.42758,0.47243,0.26522,2.03584,1.335,1.11384,7.28496e-05,7.28496e-05,7.28496e-05
84,134.203,1.71077,0.97195,1.05424,0.55061,0.45788,0.46644,0.26344,2.02769,1.33131,1.11134,6.60221e-05,6.60221e-05,6.60221e-05
85,135.64,1.64377,0.98185,1.0332,0.52315,0.46589,0.4668,0.27915,2.0238,1.32798,1.11071,5.9548e-05,5.9548e-05,5.9548e-05
86,137.111,1.68051,0.98124,1.02228,0.55164,0.47301,0.46678,0.27629,2.02893,1.33156,1.1133,5.34336e-05,5.34336e-05,5.34336e-05
87,138.604,1.73466,0.99305,1.00899,0.51737,0.47446,0.45984,0.25694,2.03264,1.33556,1.11527,4.76849e-05,4.76849e-05,4.76849e-05
88,140.092,1.742,0.99434,1.0233,0.52246,0.47561,0.46195,0.26359,2.04695,1.3478,1.11966,4.23077e-05,4.23077e-05,4.23077e-05
89,141.542,1.75766,0.99038,1.01703,0.51464,0.47618,0.46597,0.26191,2.05702,1.35176,1.12136,3.73072e-05,3.73072e-05,3.73072e-05
90,143.045,1.74188,0.99846,1.00325,0.52881,0.47071,0.46461,0.25976,2.06735,1.35815,1.12298,3.26883e-05,3.26883e-05,3.26883e-05
91,174.733,1.77696,1.14433,1.06721,0.53022,0.46817,0.45928,0.25623,2.08044,1.36561,1.12545,2.84557e-05,2.84557e-05,2.84557e-05
92,176.217,1.75868,1.14114,1.05746,0.61433,0.36996,0.44522,0.24856,2.10026,1.40065,1.12837,2.46135e-05,2.46135e-05,2.46135e-05
93,177.664,1.73905,1.16036,1.03618,0.60035,0.36824,0.43778,0.24033,2.10554,1.41824,1.12818,2.11655e-05,2.11655e-05,2.11655e-05
94,179.075,1.76988,1.12301,1.06735,0.44478,0.50712,0.4381,0.24007,2.10884,1.4329,1.12945,1.81151e-05,1.81151e-05,1.81151e-05
95,180.524,1.73869,1.11751,1.04351,0.57751,0.36939,0.43283,0.23682,2.11331,1.44773,1.13045,1.54652e-05,1.54652e-05,1.54652e-05
96,181.993,1.73172,1.09544,1.05426,0.4498,0.46303,0.42963,0.23515,2.11356,1.45711,1.13328,1.32186e-05,1.32186e-05,1.32186e-05
97,183.468,1.74107,1.03616,1.05801,0.45641,0.45307,0.42484,0.23268,2.12167,1.46622,1.13517,1.13775e-05,1.13775e-05,1.13775e-05
98,184.923,1.74508,1.04838,1.05118,0.46655,0.43901,0.42498,0.232,2.12208,1.46784,1.13501,9.94361e-06,9.94361e-06,9.94361e-06
99,186.347,1.74447,1.02896,1.04905,0.4735,0.4362,0.42475,0.23196,2.12083,1.47546,1.13398,8.91838e-06,8.91838e-06,8.91838e-06
100,187.848,1.70049,1.03615,1.04111,0.49658,0.42358,0.42659,0.23435,2.11108,1.47397,1.13318,8.30285e-06,8.30285e-06,8.30285e-06
