fold,precision_all,recall_all,mAP50_all,mAP50-95_all,precision_Paranemonia_sp,recall_Paranemonia_sp,mAP50_Paranemonia_sp,mAP50-95_Paranemonia_sp,precision_Anemonia_sp,recall_Anemonia_sp,mAP50_Anemonia_sp,mAP50-95_Anemonia_sp,precision_Brachyura_sp,recall_Brachyura_sp,mAP50_Brachyura_sp,mAP50-95_Brachyura_sp
1,0.8253064800233109,0.637380794186404,0.7461191025002293,0.40840383513730455,0.8122145268402619,0.33149722126888953,0.5207319309279429,0.19586700180292085,0.9391097694119145,0.5806451612903226,0.722625376572745,0.4323445036089928,0.7245951438177562,1.0,0.995,0.597
2,0.6449837304133105,0.5433039294306334,0.4911108647050771,0.25019620224644773,0.5990563316694785,0.5348837209302325,0.45012015193705956,0.17476082174666077,0.6909111291571425,0.5517241379310345,0.5321015774730946,0.3256315827462348,,,,
3,0.671298200093648,0.44460326535798234,0.4588528769345859,0.2774783742775639,0.6693113642602161,0.3893653516295026,0.4365586308037576,0.17110178949935828,0.7299160245470435,0.4444444444444444,0.445,0.21583333333333332,0.6146672114736846,0.5,0.495,0.4455
4,0.6749923456637793,0.7124516448767251,0.6247710602523171,0.3296296717215793,0.658699782547662,0.5829596412556054,0.5192020696458403,0.19039338024410318,0.8491497460068366,0.8043952933745697,0.7934444444444444,0.5161623015873016,0.517127508436839,0.75,0.5616666666666668,0.2823333333333334
5,0.7347204102840342,0.6316120115592411,0.5592279934570511,0.30754151444939576,0.304161230852103,0.7519788918205804,0.537683980371153,0.2264023211259651,0.9,0.6428571428571429,0.645,0.39922222222222226,1.0,0.5,0.495,0.297
