fold,precision_all,recall_all,mAP50_all,mAP50-95_all,precision_Paranemonia_sp,recall_Paranemonia_sp,mAP50_Paranemonia_sp,mAP50-95_Paranemonia_sp,precision_Anemonia_sp,recall_Anemonia_sp,mAP50_Anemonia_sp,mAP50-95_Anemonia_sp,precision_Brachyura_sp,recall_Brachyura_sp,mAP50_Brachyura_sp,mAP50-95_Brachyura_sp
1,0.862904159072092,0.7920879278144858,0.784292539989489,0.5177848194514848,0.7414427169301114,0.6406578644250333,0.627461916224747,0.33437955867481894,0.8472697602861645,0.8391252616763719,0.8304157037437199,0.564808233012969,1.0,0.8964806573420525,0.895,0.6541666666666667
2,0.9029497762089802,0.8211857133425761,0.8274523302689444,0.5297743174644827,0.804182309555898,0.6933551198257081,0.7073773875847449,0.37818795843097147,0.9046670190710425,0.8611111111111112,0.869979603222088,0.5960457082481907,1.0,0.9090909090909091,0.905,0.6150892857142858
3,0.9442374749425916,0.817504884061084,0.8795896307524869,0.6006544003040477,0.9263613210480723,0.5701617110067815,0.7237319767529484,0.40484347923564573,0.9618310957622148,0.8823529411764706,0.920036915504512,0.6141197216764971,0.9445200080174874,1.0,0.995,0.783
4,0.8925807820723074,0.8120494837327099,0.8204032948131008,0.5438732797844639,0.8014452307278331,0.6861484511981297,0.6964864290280066,0.37355025307787487,0.8762971154890887,0.75,0.7697234554112957,0.5325695862755165,1.0,1.0,0.995,0.7254999999999999
5,0.8193976864862996,0.7461928960797041,0.7598667001626764,0.47094895627549277,0.7883425820016149,0.5711368277739959,0.6079215921686313,0.3153594135433518,0.8516686592754658,0.7674418604651163,0.776678508319398,0.5028445981402696,0.8181818181818182,0.9,0.895,0.5946428571428573
