epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02569,3.38966,3.64877,1.94205,0.03376,0.09518,0.01145,0.0029,3.42827,inf,1.48542,0.0001428,0.0001428,0.0831428
2,11.7668,2.61455,2.19329,1.39053,0.06416,0.05728,0.01863,0.00571,2.93671,13.6866,1.2985,0.000293928,0.000293928,0.0652939
3,16.2805,2.41977,1.89645,1.30596,0.41474,0.099,0.04063,0.01128,2.98508,8.81629,1.37954,0.000444765,0.000444765,0.0474448
4,20.5133,2.40556,1.85936,1.25921,0.1233,0.11468,0.05483,0.01563,3.10513,6.74968,1.26113,0.000595089,0.000595089,0.0295951
5,24.7946,2.34974,1.73345,1.24003,0.18862,0.15464,0.11078,0.03782,2.84365,11.0986,1.27413,0.000744681,0.000744681,0.0117447
6,28.7987,2.29151,1.74768,1.25054,0.15665,0.15968,0.10804,0.03907,2.36647,3.07543,1.21649,0.000834879,0.000834879,0.000834879
7,32.7995,2.25971,1.729,1.20213,0.31486,0.25437,0.18522,0.06526,2.23233,3.77877,1.19132,0.000832632,0.000832632,0.000832632
8,36.8134,2.2625,1.66334,1.1927,0.19096,0.22967,0.16413,0.05701,2.42421,3.35732,1.23449,0.000829983,0.000829983,0.000829983
9,40.6091,2.2598,1.654,1.22069,0.26829,0.52832,0.27119,0.11587,2.22501,2.03451,1.17837,0.000826932,0.000826932,0.000826932
10,44.5423,2.19135,1.615,1.18397,0.40811,0.45666,0.36942,0.15503,2.12285,2.53954,1.14717,0.000823484,0.000823484,0.000823484
11,48.3959,2.16087,1.56508,1.17633,0.42189,0.44847,0.36255,0.14113,2.10419,1.6016,1.14923,0.000819642,0.000819642,0.000819642
12,52.2223,2.15236,1.51159,1.17255,0.50403,0.57094,0.54024,0.23402,2.08668,1.95664,1.12058,0.000815409,0.000815409,0.000815409
13,56.1004,2.15632,1.4801,1.16926,0.37186,0.57176,0.45134,0.19883,2.06295,2.29356,1.12074,0.00081079,0.00081079,0.00081079
14,59.8696,2.10357,1.49364,1.16988,0.54202,0.50996,0.50515,0.19956,2.05145,1.57977,1.11734,0.00080579,0.00080579,0.00080579
15,63.6942,2.0965,1.44395,1.14487,0.53628,0.53699,0.47963,0.21862,2.04054,1.53842,1.10994,0.000800413,0.000800413,0.000800413
16,67.5052,2.0504,1.42382,1.14488,0.57432,0.52427,0.58998,0.25975,2.01592,1.46195,1.12449,0.000794664,0.000794664,0.000794664
17,71.3487,2.08327,1.41229,1.15472,0.61906,0.64194,0.57433,0.28349,2.04464,1.82184,1.11915,0.00078855,0.00078855,0.00078855
18,75.2246,2.09115,1.45606,1.15761,0.58043,0.62137,0.67032,0.31142,1.98669,1.63978,1.1032,0.000782075,0.000782075,0.000782075
19,79.0435,2.02471,1.40385,1.14716,0.64704,0.62433,0.60797,0.2992,2.0019,1.52762,1.10141,0.000775248,0.000775248,0.000775248
20,82.8038,2.05093,1.41049,1.15157,0.50634,0.59611,0.50943,0.23178,1.96617,1.36259,1.10233,0.000768074,0.000768074,0.000768074
21,86.5983,2.02778,1.35012,1.11519,0.71259,0.55272,0.60572,0.27487,1.96167,1.58005,1.09684,0.00076056,0.00076056,0.00076056
22,90.3524,1.99036,1.35636,1.10928,0.59698,0.55384,0.58366,0.27326,1.97153,1.37822,1.09878,0.000752715,0.000752715,0.000752715
