epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2373,3.74501,5.24804,2.29544,0.45473,0.33333,0.33179,0.19903,3.22586,4.0263,2.10842,3.36e-05,3.36e-05,0.0960336
2,7.82153,3.43179,4.63107,2.1511,0.00316,0.03285,0.00041,9e-05,3.59952,inf,1.85874,7.55815e-05,7.55815e-05,0.0910756
3,9.5566,2.87761,2.68202,1.53527,0.00494,0.04197,0.00079,0.00019,4.06638,inf,2.0189,0.000117485,0.000117485,0.0861175
4,11.2412,2.64791,2.22119,1.37748,0.00468,0.04866,0.00123,0.00023,4.05919,inf,1.85872,0.000159249,0.000159249,0.0811592
5,12.9962,2.54932,2.10029,1.29449,0.01094,0.06509,0.00596,0.00113,3.35669,inf,1.5825,0.000200813,0.000200813,0.0762008
6,14.6865,2.39769,1.91233,1.25496,0.02922,0.04623,0.01407,0.00317,3.13296,32.1984,1.53697,0.000242115,0.000242115,0.0712421
7,16.3267,2.36701,1.75904,1.28233,0.0744,0.05779,0.03155,0.00762,2.90757,12.2031,1.53181,0.000283095,0.000283095,0.0662831
8,17.936,2.44147,1.75056,1.25399,0.41871,0.07543,0.04629,0.0108,2.89976,8.16959,1.54215,0.000323693,0.000323693,0.0613237
9,19.5245,2.3368,1.70061,1.26935,0.613,0.16953,0.11942,0.05083,2.62991,5.91499,1.41767,0.00036385,0.00036385,0.0563639
10,21.0384,2.28359,1.60156,1.25455,0.50165,0.19084,0.10995,0.039,2.74755,3.62425,1.41555,0.000403507,0.000403507,0.0514035
11,22.5169,2.2205,1.62843,1.15812,0.4764,0.15368,0.06442,0.01683,2.90936,2.97889,1.43858,0.000442607,0.000442607,0.0464426
12,24.0958,2.21301,1.59015,1.15852,0.15858,0.15839,0.08864,0.02472,2.64388,3.80843,1.35603,0.000481091,0.000481091,0.0414811
13,25.5868,2.21558,1.51837,1.16971,0.20863,0.19966,0.12807,0.04222,2.51374,3.23205,1.32933,0.000518906,0.000518906,0.0365189
14,27.0403,2.22526,1.5427,1.18446,0.66604,0.21602,0.29445,0.08946,2.57069,2.3138,1.39456,0.000555995,0.000555995,0.031556
15,28.5237,2.17149,1.5267,1.18431,0.63424,0.28348,0.25965,0.10041,2.49319,2.54445,1.383,0.000592305,0.000592305,0.0265923
16,30.0138,2.17602,1.4853,1.18407,0.70608,0.28436,0.33204,0.10517,2.52645,3.33819,1.39478,0.000627785,0.000627785,0.0216278
17,31.53,2.14909,1.53912,1.18874,0.27327,0.29304,0.25555,0.09042,2.52858,2.20725,1.37172,0.000662382,0.000662382,0.0166624
18,32.9914,2.23006,1.51753,1.13817,0.34458,0.31975,0.30717,0.12535,2.32212,1.66419,1.28835,0.000696047,0.000696047,0.011696
19,34.4621,2.15337,1.47563,1.13902,0.42642,0.28722,0.32343,0.14074,2.26454,1.54924,1.25761,0.000728733,0.000728733,0.00672873
20,35.9354,2.14549,1.45982,1.13476,0.55322,0.62346,0.41515,0.18987,2.24106,1.62014,1.25832,0.000760393,0.000760393,0.00176039
21,37.3756,2.15883,1.37186,1.16768,0.75187,0.58221,0.7354,0.27477,2.13846,1.73632,1.22718,0.00076056,0.00076056,0.00076056
22,38.8891,2.13323,1.34742,1.13262,0.60358,0.69327,0.53173,0.25603,2.14416,1.71225,1.22142,0.000752715,0.000752715,0.000752715
23,40.3273,2.13676,1.39195,1.13228,0.65119,0.62508,0.73313,0.27604,2.16669,1.59206,1.22412,0.000744545,0.000744545,0.000744545
24,41.8431,2.14836,1.46735,1.17564,0.52191,0.57233,0.66129,0.22512,2.15819,1.58837,1.20495,0.000736058,0.000736058,0.000736058
25,43.2775,2.13623,1.47211,1.13892,0.80633,0.5128,0.66294,0.2564,2.11702,1.80196,1.21139,0.000727264,0.000727264,0.000727264
26,44.764,2.10948,1.37641,1.13589,0.62407,0.56654,0.50193,0.20721,2.10322,2.25409,1.20389,0.000718171,0.000718171,0.000718171
27,46.2373,2.08556,1.40183,1.14943,0.48397,0.68414,0.46499,0.19798,2.12461,2.7076,1.19144,0.000708787,0.000708787,0.000708787
28,47.7397,2.04334,1.31546,1.10321,0.74013,0.33223,0.49917,0.17866,2.27611,2.73173,1.23998,0.000699122,0.000699122,0.000699122
29,49.2018,2.04198,1.35638,1.1041,0.73807,0.32045,0.38867,0.17072,2.23141,2.61186,1.23483,0.000689186,0.000689186,0.000689186
30,50.7144,2.03675,1.3395,1.10232,0.29516,0.7244,0.38279,0.18127,2.14254,2.07873,1.21254,0.000678988,0.000678988,0.000678988
31,52.2396,1.99121,1.3141,1.11836,0.46681,0.66642,0.40528,0.18784,2.12939,1.75241,1.20958,0.000668539,0.000668539,0.000668539
32,53.7472,1.99945,1.30945,1.12218,0.53087,0.67408,0.4641,0.20132,2.13637,1.72788,1.20381,0.000657848,0.000657848,0.000657848
33,55.2773,1.99969,1.2405,1.0957,0.38732,0.73721,0.41424,0.18059,2.16454,1.93006,1.2026,0.000646927,0.000646927,0.000646927
34,56.7576,2.0673,1.26293,1.08772,0.48073,0.3104,0.38402,0.17113,2.21305,2.22345,1.21922,0.000635785,0.000635785,0.000635785
35,58.1924,1.98007,1.23451,1.08536,0.35219,0.77484,0.41282,0.17408,2.19754,2.21286,1.21692,0.000624435,0.000624435,0.000624435
36,59.6713,1.98997,1.27515,1.08915,0.40737,0.74927,0.467,0.20241,2.1261,1.63317,1.21383,0.000612887,0.000612887,0.000612887
37,61.075,1.98709,1.2385,1.08814,0.50703,0.72051,0.58519,0.23167,2.11635,1.4733,1.2124,0.000601152,0.000601152,0.000601152
38,62.5472,2.01575,1.2348,1.09727,0.63967,0.63272,0.73502,0.28767,2.13938,1.44161,1.20877,0.000589243,0.000589243,0.000589243
39,64.1134,1.99987,1.2441,1.08833,0.66393,0.61771,0.73184,0.31534,2.14595,1.45971,1.20551,0.000577171,0.000577171,0.000577171
40,65.6274,1.98467,1.2197,1.09357,0.63454,0.63952,0.76182,0.37771,2.0833,1.5212,1.17817,0.000564947,0.000564947,0.000564947
41,67.1338,1.99888,1.22802,1.07297,0.82553,0.63721,0.7681,0.4157,2.11381,1.46807,1.18266,0.000552585,0.000552585,0.000552585
42,68.6897,1.90875,1.15913,1.05586,0.64987,0.70064,0.58827,0.26693,2.16259,1.47461,1.19205,0.000540095,0.000540095,0.000540095
43,70.3489,1.95823,1.1864,1.07164,0.5396,0.73715,0.5237,0.24051,2.14142,1.46059,1.19077,0.000527492,0.000527492,0.000527492
44,72.0481,1.83998,1.14805,1.0734,0.49758,0.69822,0.46608,0.21243,2.0871,1.40089,1.20113,0.000514786,0.000514786,0.000514786
45,73.8104,2.03189,1.18785,1.11164,0.47555,0.69377,0.46982,0.20949,2.11597,1.37747,1.20766,0.00050199,0.00050199,0.00050199
46,75.6358,1.90452,1.21214,1.08794,0.48355,0.67257,0.44288,0.19614,2.18767,1.39405,1.21266,0.000489118,0.000489118,0.000489118
47,77.4318,1.89814,1.13272,1.07722,0.54349,0.64854,0.43681,0.19434,2.21608,1.43154,1.21825,0.000476181,0.000476181,0.000476181
48,79.0513,1.92072,1.1994,1.06166,0.64717,0.65882,0.70088,0.28812,2.15018,1.40595,1.1956,0.000463193,0.000463193,0.000463193
49,80.8227,1.88765,1.18145,1.07741,0.65306,0.66476,0.71333,0.29683,2.14954,1.37482,1.19645,0.000450167,0.000450167,0.000450167
50,82.5852,1.88532,1.17102,1.08535,0.64057,0.6599,0.71094,0.28382,2.21663,1.38671,1.21628,0.000437114,0.000437114,0.000437114
51,84.374,1.88261,1.15971,1.1002,0.6644,0.66092,0.71507,0.2905,2.24317,1.37515,1.226,0.000424049,0.000424049,0.000424049
52,86.02,1.88253,1.14361,1.06712,0.72795,0.67532,0.74645,0.30245,2.12158,1.29744,1.19492,0.000410983,0.000410983,0.000410983
53,87.6333,1.87901,1.13624,1.08522,0.73044,0.68884,0.74787,0.33478,2.11951,1.31401,1.19851,0.000397931,0.000397931,0.000397931
54,89.2321,1.8793,1.1197,1.06922,0.78128,0.63694,0.74689,0.33498,2.12793,1.33725,1.20156,0.000384904,0.000384904,0.000384904
55,90.8951,1.85062,1.09834,1.04702,0.67469,0.67174,0.56857,0.26121,2.17451,1.38076,1.21899,0.000371916,0.000371916,0.000371916
56,92.5238,1.87225,1.12874,1.06953,0.45414,0.77082,0.49994,0.22162,2.26713,1.40398,1.24703,0.00035898,0.00035898,0.00035898
57,94.1084,1.85648,1.10567,1.05212,0.56045,0.72024,0.56216,0.24107,2.21726,1.38001,1.2281,0.000346107,0.000346107,0.000346107
58,95.8898,1.89353,1.11571,1.03075,0.61148,0.7181,0.56235,0.26105,2.16098,1.33652,1.20801,0.000333312,0.000333312,0.000333312
59,97.5367,1.88226,1.0997,1.04841,0.80829,0.67527,0.73732,0.30093,2.13603,1.30067,1.20366,0.000320606,0.000320606,0.000320606
60,99.27,1.82173,1.08606,1.04212,0.79715,0.69776,0.74526,0.30244,2.12941,1.2885,1.20208,0.000308002,0.000308002,0.000308002
61,100.873,1.80513,1.05209,1.02439,0.80072,0.70121,0.74348,0.29743,2.12732,1.28779,1.20733,0.000295513,0.000295513,0.000295513
62,102.61,1.79431,1.05632,1.02934,0.78427,0.70184,0.74046,0.29612,2.13361,1.30748,1.21251,0.00028315,0.00028315,0.00028315
63,104.261,1.80741,1.08023,1.04312,0.79129,0.70017,0.74434,0.30005,2.12057,1.33214,1.20797,0.000270927,0.000270927,0.000270927
64,105.816,1.80961,1.09331,1.04736,0.76487,0.71252,0.7481,0.30486,2.1172,1.31046,1.20529,0.000258855,0.000258855,0.000258855
65,107.359,1.79663,1.05352,1.02133,0.75892,0.69613,0.74857,0.26821,2.14202,1.28922,1.20657,0.000246945,0.000246945,0.000246945
66,108.863,1.79508,1.05331,1.02981,0.72412,0.69615,0.74725,0.26404,2.13896,1.2752,1.20391,0.000235211,0.000235211,0.000235211
67,110.481,1.85463,1.08412,1.00625,0.68375,0.72561,0.73979,0.25912,2.13556,1.27805,1.20108,0.000223663,0.000223663,0.000223663
68,112.101,1.77554,1.06118,1.02616,0.67688,0.71121,0.73358,0.29151,2.1112,1.28668,1.19789,0.000212312,0.000212312,0.000212312
69,113.677,1.73302,1.03613,1.01458,0.68023,0.72196,0.73772,0.28791,2.10495,1.28874,1.20078,0.000201171,0.000201171,0.000201171
70,115.17,1.71517,1.07115,1.05604,0.7903,0.64842,0.73796,0.28855,2.09219,1.29536,1.2024,0.00019025,0.00019025,0.00019025
71,116.662,1.7583,1.04711,1.03507,0.82181,0.64027,0.74726,0.28985,2.08385,1.29476,1.20339,0.000179559,0.000179559,0.000179559
72,118.241,1.72275,0.9855,1.03177,0.84147,0.62848,0.73406,0.28763,2.08509,1.27947,1.19927,0.000169109,0.000169109,0.000169109
73,119.756,1.74528,1.00853,1.04594,0.78626,0.64618,0.7324,0.28579,2.10952,1.27823,1.20494,0.000158912,0.000158912,0.000158912
74,121.252,1.77014,1.00524,1.02759,0.82162,0.6372,0.72777,0.2819,2.16044,1.28726,1.21892,0.000148975,0.000148975,0.000148975
75,122.803,1.71021,1.05698,1.02916,0.84381,0.65071,0.72537,0.28214,2.19938,1.30143,1.23198,0.000139311,0.000139311,0.000139311
76,124.596,1.77957,1.04679,1.0078,0.79866,0.65826,0.71896,0.27715,2.23581,1.31702,1.24285,0.000129927,0.000129927,0.000129927
77,126.172,1.81412,1.06237,1.03169,0.79531,0.65264,0.72446,0.28305,2.22458,1.31533,1.2386,0.000120833,0.000120833,0.000120833
78,127.732,1.75532,1.0164,1.03801,0.76953,0.6612,0.72799,0.28324,2.19776,1.30443,1.22912,0.000112039,0.000112039,0.000112039
79,129.224,1.65121,0.9918,1.00564,0.77961,0.65705,0.73134,0.28781,2.15616,1.29634,1.21797,0.000103553,0.000103553,0.000103553
80,130.902,1.70288,1.00511,1.03202,0.78401,0.67551,0.74292,0.29541,2.09489,1.28161,1.20433,9.53829e-05,9.53829e-05,9.53829e-05
81,132.526,1.74804,0.99061,1.00914,0.78313,0.67647,0.74616,0.29875,2.08907,1.26676,1.20508,8.75372e-05,8.75372e-05,8.75372e-05
82,134.047,1.74804,0.99751,1.01993,0.80931,0.67757,0.74751,0.30039,2.08863,1.25676,1.20631,8.00236e-05,8.00236e-05,8.00236e-05
83,135.547,1.71351,0.99313,1.01177,0.7763,0.68605,0.74308,0.29956,2.09828,1.25092,1.2116,7.28496e-05,7.28496e-05,7.28496e-05
