epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.88406,3.77275,4.9319,2.2618,0.00025,0.01724,2e-05,1e-05,3.28057,4.68015,2.14438,3.36e-05,3.36e-05,0.0960336
2,6.56329,3.4665,4.21192,2.04174,0.01231,0.14884,0.00498,0.00106,3.31354,4.83295,1.69639,7.55815e-05,7.55815e-05,0.0910756
3,8.31244,2.8964,2.57974,1.47584,0.00631,0.0186,0.00063,0.00012,4.55346,69.6311,2.19573,0.000117485,0.000117485,0.0861175
4,9.99105,2.52444,2.15302,1.33502,0.00861,0.03023,0.00096,0.00015,4.55262,28.188,2.33566,0.000159249,0.000159249,0.0811592
5,11.6453,2.58213,2.06525,1.33169,0.50711,0.02558,0.00098,0.00015,4.50643,6.68484,2.43795,0.000200813,0.000200813,0.0762008
6,13.2848,2.38943,1.86998,1.28255,0.51212,0.02093,0.00143,0.00023,4.53255,4.59149,2.47814,0.000242115,0.000242115,0.0712421
7,14.8576,2.31835,1.73854,1.24781,0.5247,0.0314,0.00801,0.00164,3.84457,3.61809,1.99002,0.000283095,0.000283095,0.0662831
8,16.4155,2.42225,1.76199,1.19381,0.03733,0.05116,0.00981,0.00203,3.63651,2.98621,1.89833,0.000323693,0.000323693,0.0613237
9,17.9686,2.24147,1.61422,1.2346,0.04399,0.05233,0.01777,0.0043,3.71945,4.05421,1.9562,0.00036385,0.00036385,0.0563639
10,19.5071,2.28274,1.58197,1.22453,0.07771,0.09884,0.04353,0.00934,3.16798,3.72746,1.72479,0.000403507,0.000403507,0.0514035
11,20.9606,2.27316,1.5847,1.16939,0.29084,0.15096,0.13135,0.04029,2.71909,3.56352,1.51839,0.000442607,0.000442607,0.0464426
12,22.468,2.17877,1.51524,1.16553,0.3522,0.2676,0.21041,0.07552,2.50333,2.47623,1.41398,0.000481091,0.000481091,0.0414811
13,23.9346,2.1526,1.47447,1.17254,0.49499,0.21548,0.20931,0.08037,2.53349,2.82808,1.42737,0.000518906,0.000518906,0.0365189
14,25.4464,2.18031,1.55027,1.13537,0.39331,0.24707,0.21291,0.06879,2.47044,2.38956,1.40193,0.000555995,0.000555995,0.031556
15,26.9406,2.14395,1.57354,1.1966,0.38823,0.3085,0.2678,0.09535,2.34638,1.95355,1.37957,0.000592305,0.000592305,0.0265923
16,28.4328,2.12597,1.47725,1.17026,0.56734,0.2615,0.30517,0.10626,2.26435,2.06798,1.33693,0.000627785,0.000627785,0.0216278
17,29.8885,2.16635,1.46992,1.18388,0.54685,0.33218,0.30679,0.10469,2.30139,2.59004,1.35777,0.000662382,0.000662382,0.0166624
18,31.3235,2.16657,1.41849,1.17658,0.63046,0.32344,0.32918,0.11811,2.28851,2.7913,1.34338,0.000696047,0.000696047,0.011696
