epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.8001,3.33525,3.24687,1.85505,0.00833,0.03544,0.00329,0.0009,3.641,inf,1.70419,0.0001428,0.0001428,0.0831428
2,11.5177,2.61113,2.22887,1.36521,0.02832,0.03449,0.00785,0.00203,3.30871,27.9571,1.51398,0.000293928,0.000293928,0.0652939
3,15.9561,2.38871,1.87844,1.30156,0.24648,0.35429,0.20149,0.0459,2.65576,5.44631,1.32924,0.000444765,0.000444765,0.0474448
4,20.0999,2.39741,1.83742,1.2612,0.23392,0.29712,0.15082,0.05545,2.94753,7.56643,1.43024,0.000595089,0.000595089,0.0295951
5,24.1591,2.33264,1.72134,1.23294,0.40141,0.25968,0.23634,0.0743,2.27281,4.44119,1.24715,0.000744681,0.000744681,0.0117447
6,28.2416,2.27246,1.788,1.24386,0.28464,0.23932,0.20032,0.06735,2.41834,3.15211,1.22821,0.000834879,0.000834879,0.000834879
7,32.3052,2.25765,1.69647,1.19698,0.25796,0.30214,0.17564,0.05873,2.44281,5.39663,1.2344,0.000832632,0.000832632,0.000832632
8,36.2504,2.2129,1.64762,1.17883,0.33515,0.42918,0.27065,0.10181,2.38267,3.93016,1.27195,0.000829983,0.000829983,0.000829983
9,40.2005,2.1799,1.57722,1.17399,0.34323,0.48354,0.34163,0.13656,2.37712,2.90898,1.21954,0.000826932,0.000826932,0.000826932
10,44.0721,2.14921,1.54369,1.16511,0.43752,0.4553,0.34908,0.1391,2.26868,2.03935,1.23141,0.000823484,0.000823484,0.000823484
11,47.9484,2.16722,1.54072,1.17555,0.44254,0.35133,0.36192,0.13429,2.14808,1.99581,1.18474,0.000819642,0.000819642,0.000819642
12,51.7613,2.1302,1.51788,1.15932,0.53237,0.48267,0.47197,0.1961,2.09907,1.61007,1.17853,0.000815409,0.000815409,0.000815409
13,55.6391,2.11507,1.45506,1.16116,0.50079,0.46357,0.39044,0.14546,2.37766,2.1208,1.21243,0.00081079,0.00081079,0.00081079
14,59.5229,2.10201,1.47908,1.15284,0.59069,0.45528,0.49824,0.18404,2.22322,1.71014,1.19664,0.00080579,0.00080579,0.00080579
15,63.3951,2.10265,1.46757,1.1415,0.52003,0.51607,0.47888,0.20985,2.11005,1.83397,1.15769,0.000800413,0.000800413,0.000800413
16,67.2778,2.05862,1.43713,1.14048,0.59776,0.51374,0.46179,0.20817,2.12112,1.61092,1.14702,0.000794664,0.000794664,0.000794664
17,71.0902,2.05177,1.40862,1.13358,0.59428,0.53223,0.57448,0.25116,2.11023,1.81438,1.14285,0.00078855,0.00078855,0.00078855
18,75.0078,2.009,1.35688,1.11011,0.72015,0.53487,0.5564,0.24235,2.21744,1.69324,1.16706,0.000782075,0.000782075,0.000782075
19,78.8476,1.99011,1.33027,1.11966,0.65525,0.5009,0.53932,0.24853,2.26064,1.68568,1.18883,0.000775248,0.000775248,0.000775248
20,82.6575,2.00937,1.34424,1.13352,0.47409,0.38462,0.33188,0.13937,2.42551,1.8584,1.22811,0.000768074,0.000768074,0.000768074
21,86.4993,2.04914,1.35885,1.10235,0.62179,0.43286,0.44879,0.21992,2.13464,1.94521,1.15107,0.00076056,0.00076056,0.00076056
22,90.2704,2.03367,1.38878,1.11554,0.58774,0.61852,0.58007,0.2586,2.18867,1.55129,1.16113,0.000752715,0.000752715,0.000752715
23,94.1302,1.98024,1.33071,1.0973,0.60077,0.59758,0.56706,0.25237,2.00472,1.4864,1.15094,0.000744545,0.000744545,0.000744545
24,97.976,1.9305,1.28577,1.09755,0.70483,0.53703,0.61015,0.29977,2.03834,1.43151,1.14622,0.000736058,0.000736058,0.000736058
25,101.84,1.96289,1.28652,1.08799,0.66674,0.59792,0.62279,0.28536,2.09315,1.66251,1.14818,0.000727264,0.000727264,0.000727264
26,105.675,1.93569,1.26104,1.09323,0.68671,0.54017,0.60003,0.28505,2.02996,1.48413,1.14744,0.000718171,0.000718171,0.000718171
27,109.49,1.93593,1.28857,1.09869,0.75279,0.54119,0.60875,0.32222,1.97548,1.56454,1.10941,0.000708787,0.000708787,0.000708787
28,113.344,1.89351,1.25915,1.09159,0.66138,0.56281,0.56204,0.28772,2.05567,1.47793,1.12252,0.000699122,0.000699122,0.000699122
29,117.122,1.87278,1.23963,1.08504,0.63168,0.57843,0.54914,0.27315,2.01711,1.57567,1.12534,0.000689186,0.000689186,0.000689186
30,120.947,1.92823,1.26846,1.07625,0.76052,0.55904,0.6333,0.31692,2.12777,1.57263,1.13421,0.000678988,0.000678988,0.000678988
31,124.742,1.87097,1.20586,1.07165,0.79715,0.58052,0.64481,0.31015,2.02693,1.50785,1.11393,0.000668539,0.000668539,0.000668539
32,128.51,1.82559,1.20142,1.08349,0.68054,0.60934,0.64907,0.29686,1.93386,1.33807,1.10556,0.000657848,0.000657848,0.000657848
33,132.337,1.86638,1.20197,1.08173,0.7637,0.5801,0.62432,0.3001,1.93533,1.33485,1.10737,0.000646927,0.000646927,0.000646927
