epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.44858,3.76822,4.52354,2.33782,0.4422,0.08333,0.09089,0.03764,3.43464,3.95207,2.12466,3.36e-05,3.36e-05,0.0960336
2,4.20077,3.43533,3.81467,2.12675,0.0083,0.03438,0.00154,0.00028,3.60218,inf,1.74091,7.55815e-05,7.55815e-05,0.0910756
3,6.17392,2.96908,2.63959,1.52772,0.01667,0.04534,0.00685,0.00167,3.3241,inf,1.65381,0.000117485,0.000117485,0.0861175
4,8.07338,2.55963,2.09156,1.4203,0.02414,0.03637,0.00933,0.0022,3.25415,42.3469,1.57668,0.000159249,0.000159249,0.0811592
5,10.0359,2.59405,2.05832,1.37749,0.03941,0.04733,0.01441,0.00321,3.09501,14.6607,1.48445,0.000200813,0.000200813,0.0762008
6,11.8943,2.43104,1.9117,1.3161,0.06272,0.05979,0.03666,0.00895,2.85504,8.02478,1.40021,0.000242115,0.000242115,0.0712421
7,13.5773,2.38335,1.74134,1.33093,0.35573,0.20813,0.09306,0.02747,2.76344,10.3177,1.40023,0.000283095,0.000283095,0.0662831
8,15.2149,2.44555,1.78154,1.25691,0.29391,0.24945,0.1278,0.04724,2.67718,6.24503,1.37663,0.000323693,0.000323693,0.0613237
9,16.8919,2.32338,1.7666,1.3165,0.36377,0.24121,0.22096,0.10382,2.41026,3.58312,1.2891,0.00036385,0.00036385,0.0563639
10,18.6336,2.29391,1.60216,1.2835,0.33563,0.25839,0.22662,0.09729,2.43038,4.24902,1.29406,0.000403507,0.000403507,0.0514035
11,20.213,2.32537,1.69094,1.2476,0.29033,0.32146,0.27054,0.11541,2.4754,3.56166,1.30146,0.000442607,0.000442607,0.0464426
12,21.8249,2.20942,1.65919,1.18943,0.40031,0.31454,0.31165,0.14348,2.33995,2.41624,1.25438,0.000481091,0.000481091,0.0414811
13,23.4111,2.19576,1.59183,1.19466,0.38633,0.32002,0.31863,0.15152,2.29584,2.43012,1.24404,0.000518906,0.000518906,0.0365189
14,24.9917,2.2357,1.61108,1.22583,0.44592,0.30109,0.31649,0.1538,2.2589,2.72543,1.24431,0.000555995,0.000555995,0.031556
15,26.5781,2.12914,1.51546,1.24038,0.28039,0.47113,0.35644,0.16405,2.29579,1.85516,1.26076,0.000592305,0.000592305,0.0265923
16,28.076,2.15564,1.5017,1.24296,0.63724,0.36067,0.34723,0.15787,2.31751,1.79079,1.26215,0.000627785,0.000627785,0.0216278
17,29.5913,2.14048,1.51457,1.2215,0.34502,0.40081,0.37916,0.16773,2.40611,1.85824,1.28056,0.000662382,0.000662382,0.0166624
18,31.1953,2.18377,1.49761,1.21632,0.37602,0.38344,0.38268,0.1829,2.31161,1.85711,1.24381,0.000696047,0.000696047,0.011696
19,32.7645,2.09293,1.43034,1.19482,0.37175,0.37354,0.40265,0.19842,2.238,1.83868,1.20123,0.000728733,0.000728733,0.00672873
20,34.3873,2.21996,1.45426,1.16421,0.40345,0.38351,0.37742,0.18096,2.37345,1.97318,1.223,0.000760393,0.000760393,0.00176039
21,35.9572,2.14066,1.47039,1.18653,0.74777,0.35519,0.38371,0.1844,2.40556,1.82885,1.22492,0.00076056,0.00076056,0.00076056
22,37.4955,2.10993,1.51361,1.18024,0.42477,0.39539,0.42954,0.1971,2.26607,1.60158,1.18049,0.000752715,0.000752715,0.000752715
23,39.0502,2.12031,1.41224,1.16805,0.44058,0.5834,0.46012,0.21602,2.16345,1.53393,1.15746,0.000744545,0.000744545,0.000744545
24,40.6525,2.20338,1.48817,1.19995,0.68283,0.45097,0.59506,0.24221,2.29255,1.5876,1.21528,0.000736058,0.000736058,0.000736058
25,42.2425,2.18338,1.48743,1.21272,0.79998,0.40476,0.54674,0.24553,2.36883,1.61881,1.23036,0.000727264,0.000727264,0.000727264
26,43.8089,2.10536,1.52616,1.16993,0.6984,0.28968,0.43393,0.19452,2.33475,1.64844,1.2023,0.000718171,0.000718171,0.000718171
27,45.3234,2.08155,1.47278,1.13809,0.68657,0.28968,0.41997,0.19007,2.25857,1.58544,1.17799,0.000708787,0.000708787,0.000708787
28,46.8659,2.07268,1.43977,1.17264,0.34429,0.52412,0.43606,0.19734,2.16565,1.84598,1.15802,0.000699122,0.000699122,0.000699122
29,48.4122,2.08147,1.38475,1.13832,0.48538,0.47731,0.47413,0.22437,2.18642,1.92209,1.17156,0.000689186,0.000689186,0.000689186
