epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,588.965,2.07331,2.40351,1.21385,0.7598,0.65923,0.69825,0.34673,2.08151,1.98757,1.17345,0.000748024,0.000748024,0.000748024
43,598.873,2.05845,2.34964,1.16396,0.75021,0.6394,0.67687,0.35425,1.9833,1.94505,1.14267,0.000743666,0.000743666,0.000743666
44,613.392,1.97595,2.43293,1.20649,0.80379,0.5563,0.6566,0.3443,2.04387,1.97846,1.17304,0.000739221,0.000739221,0.000739221
45,622.852,2.0164,2.30429,1.18437,0.72073,0.6213,0.68385,0.34291,2.14426,2.04941,1.20939,0.00073469,0.00073469,0.00073469
46,635.327,2.06085,2.25335,1.16673,0.824,0.63451,0.70174,0.35374,1.9303,1.97739,1.12392,0.000730074,0.000730074,0.000730074
47,651.652,2.00872,2.21144,1.13677,0.81566,0.63326,0.69874,0.36193,2.01989,1.91545,1.14948,0.000725374,0.000725374,0.000725374
48,660.57,1.99443,2.2261,1.14485,0.78723,0.60904,0.69133,0.35283,1.98505,2.0032,1.14574,0.000720592,0.000720592,0.000720592
49,675.662,1.9534,2.14644,1.18556,0.71533,0.59304,0.63795,0.33393,1.98737,1.96555,1.14297,0.000715729,0.000715729,0.000715729
50,691.493,1.99366,2.18367,1.16069,0.77991,0.6102,0.68258,0.34939,1.99198,1.89778,1.14362,0.000710786,0.000710786,0.000710786
51,700.436,2.0071,2.13112,1.13105,0.66946,0.61433,0.67991,0.36238,1.98114,1.93361,1.13568,0.000705765,0.000705765,0.000705765
52,713.747,2.06597,2.41187,1.15431,0.81997,0.59869,0.68382,0.3484,1.9512,1.88018,1.12429,0.000700667,0.000700667,0.000700667
53,728.075,1.99753,2.25893,1.18678,0.81241,0.66678,0.73995,0.39601,1.95396,1.94038,1.12295,0.000695493,0.000695493,0.000695493
54,740.465,2.07242,2.33296,1.16001,0.75541,0.71533,0.75565,0.39845,1.96203,2.06833,1.13121,0.000690244,0.000690244,0.000690244
55,751.02,1.94796,2.30121,1.13122,0.83836,0.6661,0.75343,0.39794,1.99129,1.8519,1.14096,0.000684924,0.000684924,0.000684924
56,761.689,1.98263,2.2345,1.14696,0.82742,0.68091,0.74811,0.39702,2.02678,1.9852,1.15349,0.000679531,0.000679531,0.000679531
57,770.62,1.91716,2.08179,1.12002,0.67405,0.67567,0.71315,0.37392,1.9739,1.85719,1.14609,0.000674069,0.000674069,0.000674069
58,786.288,1.91494,2.10161,1.13692,0.78954,0.64578,0.71993,0.37525,1.94592,1.90906,1.13599,0.000668539,0.000668539,0.000668539
59,803.957,1.94468,2.0912,1.10851,0.77863,0.66052,0.72993,0.39219,1.94249,1.95114,1.1249,0.000662941,0.000662941,0.000662941
