epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4396,3.42962,4.00051,1.94726,0.00153,0.0107,7e-05,1e-05,4.36209,inf,1.866,0.0001428,0.0001428,0.0831428
2,23.8862,2.53813,2.03703,1.33759,0.00809,0.10502,0.01246,0.00282,3.33269,inf,1.57871,0.000293928,0.000293928,0.0652939
3,28.261,2.37304,1.84942,1.29138,0.17827,0.12667,0.10064,0.03078,2.57914,18.8712,1.37592,0.000444765,0.000444765,0.0474448
4,32.2094,2.34759,1.82571,1.23979,0.49979,0.18093,0.09696,0.03209,2.42231,4.05924,1.30977,0.000595089,0.000595089,0.0295951
5,36.1549,2.31675,1.6901,1.21467,0.62607,0.26554,0.22451,0.08093,2.48753,4.43884,1.33872,0.000744681,0.000744681,0.0117447
6,40.2645,2.29013,1.67962,1.23884,0.28065,0.29024,0.23174,0.08705,2.43843,2.49086,1.22398,0.000834879,0.000834879,0.000834879
7,44.3394,2.21078,1.66412,1.20505,0.55961,0.34443,0.33671,0.12878,2.30897,5.18094,1.18957,0.000832632,0.000832632,0.000832632
8,48.5163,2.17786,1.51968,1.18927,0.44393,0.3935,0.40817,0.15911,2.51424,3.06421,1.23865,0.000829983,0.000829983,0.000829983
9,52.7113,2.18073,1.5126,1.18629,0.55693,0.47786,0.45971,0.19469,2.2358,2.44506,1.18146,0.000826932,0.000826932,0.000826932
10,56.8053,2.14746,1.4984,1.16012,0.40411,0.44492,0.35914,0.16186,2.17976,2.05948,1.14837,0.000823484,0.000823484,0.000823484
11,60.8369,2.17527,1.5368,1.18462,0.42567,0.45915,0.40908,0.18567,2.20999,1.93902,1.17154,0.000819642,0.000819642,0.000819642
12,64.8586,2.13345,1.51612,1.19261,0.4213,0.4288,0.38137,0.14892,2.48947,2.64407,1.25087,0.000815409,0.000815409,0.000815409
13,68.784,2.12276,1.49564,1.14364,0.42025,0.539,0.38107,0.15417,2.38933,1.99345,1.21696,0.00081079,0.00081079,0.00081079
14,72.6869,2.11774,1.41207,1.18071,0.45107,0.5286,0.45071,0.20784,2.21857,1.60632,1.17236,0.00080579,0.00080579,0.00080579
15,76.607,2.09521,1.45694,1.14572,0.58655,0.49529,0.51062,0.21664,2.09378,1.6084,1.15869,0.000800413,0.000800413,0.000800413
16,80.6433,2.07666,1.41733,1.15527,0.58184,0.57296,0.60577,0.29186,2.04401,1.72994,1.12509,0.000794664,0.000794664,0.000794664
17,84.6261,2.03459,1.40566,1.13403,0.64438,0.55643,0.52536,0.24133,2.08434,1.49861,1.12544,0.00078855,0.00078855,0.00078855
18,88.6111,2.06142,1.39295,1.14323,0.55551,0.58355,0.52387,0.23577,2.04743,1.71051,1.10375,0.000782075,0.000782075,0.000782075
19,92.5369,2.05445,1.412,1.1256,0.84765,0.46028,0.61288,0.28155,2.01937,1.53666,1.09398,0.000775248,0.000775248,0.000775248
20,96.4675,2.02801,1.36235,1.14142,0.65633,0.55052,0.61526,0.32626,2.12112,1.63167,1.12133,0.000768074,0.000768074,0.000768074
